CrimeCode,CrimeDescription
623,BATTERY POLICE (SIMPLE)
330,BURGLARY FROM VEHICLE
900,VIOLATION OF COURT ORDER
510,VEHICLE - STOLEN
110,CRIMINAL HOMICIDE
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
755,BOMB SCARE
664,"BUNCO, PETTY THEFT"
920,KIDNAPPING - GRAND ATTEMPT
648,ARSON
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
354,THEFT OF IDENTITY
122,"RAPE, ATTEMPTED"
350,"THEFT, PERSON"
763,STALKING
860,BATTERY WITH SEXUAL CONTACT
661,UNAUTHORIZED COMPUTER ACCESS
753,DISCHARGE FIREARMS/SHOTS FIRED
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
440,THEFT PLAIN - PETTY ($950 & UNDER)
910,KIDNAPPING
441,THEFT PLAIN - ATTEMPT
450,THEFT FROM PERSON - ATTEMPT
352,PICKPOCKET
954,CONTRIBUTING
949,ILLEGAL DUMPING
625,OTHER ASSAULT
651,DOCUMENT WORTHLESS ($200.01 & OVER)
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
353,DRUNK ROLL
944,CONSPIRACY
438,RECKLESS DRIVING
762,LEWD CONDUCT
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
932,PEEPING TOM
805,PIMPING
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
946,OTHER MISCELLANEOUS CRIME
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
890,FAILURE TO YIELD
806,PANDERING
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
815,SEXUAL PENETRATION W/FOREIGN OBJECT
251,SHOTS FIRED AT INHABITED DWELLING
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
439,FALSE POLICE REPORT
660,COUNTERFEIT
220,ATTEMPTED ROBBERY
347,GRAND THEFT / INSURANCE FRAUD
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
761,BRANDISH WEAPON
882,INCITING A RIOT
880,DISRUPT SCHOOL
444,DISHONEST EMPLOYEE - PETTY THEFT
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
756,WEAPONS POSSESSION/BOMBING
446,PETTY THEFT - AUTO REPAIR
870,CHILD ABANDONMENT
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
652,DOCUMENT WORTHLESS ($200 & UNDER)
452,"PICKPOCKET, ATTEMPT"
451,PURSE SNATCHING - ATTEMPT
485,BIKE - ATTEMPTED STOLEN
865,"DRUGS, TO A MINOR"
113,"MANSLAUGHTER, NEGLIGENT"
475,"THEFT, COIN MACHINE - ATTEMPT"
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
948,BIGAMY
924,TELEPHONE PROPERTY - DAMAGE
942,BRIBERY
432,BLOCKING DOOR INDUCTION CENTER
